year:period,Year,Refnis,Month,dwellings,appartments,one-dwelling buildings,surface area
2012:Q1,2012,6000,6,5275,10115,5385,4730
2012:Q2,2012,6000,15,4375,8977,5134,3843
2012:Q3,2012,6000,24,3889,7546,4116,3430
2012:Q4,2012,6000,33,3674,7209,3990,3219
2013:Q1,2013,6000,6,4399,9120,5235,3885
2013:Q2,2013,6000,15,4029,8756,5236,3520
2013:Q3,2013,6000,24,4077,8375,4754,3621
2013:Q4,2013,6000,33,4423,9244,5316,3928
2014:Q1,2014,6000,6,8204,14707,7303,7404
2014:Q2,2014,6000,15,4212,12260,8770,3490
2014:Q3,2014,6000,24,2987,6079,3444,2635
2014:Q4,2014,6000,33,3395,7101,4142,2959
2015:Q1,2015,6000,6,4007,7994,4470,3524
2015:Q2,2015,6000,15,3690,8419,5214,3205
2015:Q3,2015,6000,24,4143,8679,4984,3695
2015:Q4,2015,6000,33,3674,8180,4986,3194
2016:Q1,2016,6000,6,6113,12275,6814,5461
2016:Q2,2016,6000,15,4293,12595,9004,3591
2016:Q3,2016,6000,24,3196,7895,5164,2731
2016:Q4,2016,6000,33,3094,6776,4101,2675
2017:Q1,2017,6000,6,4008,8292,4758,3534
2017:Q2,2017,6000,15,3027,10228,7764,2464
2017:Q3,2017,6000,24,3886,7317,4116,3201
2017:Q4,2017,6000,33,5043,11548,7547,4001
2018:Q1,2018,6000,6,6392,13607,8315,5292
2018:Q2,2018,6000,15,6439,16203,11138,5065
2018:Q3,2018,6000,24,4417,8961,5120,3841
2018:Q4,2018,6000,33,4838,10719,6597,4122
2019:Q1,2019,6000,6,5008,9907,5506,4401
2019:Q2,2019,6000,15,5098,10658,6223,4435
2019:Q3,2019,6000,24,5350,11570,6923,4647
2019:Q4,2019,6000,33,5206,10764,6271,4493
2020:Q1,2020,6000,6,6430,11424,5728,5696
2020:Q2,2020,6000,15,4607,9707,5765,3942
2020:Q3,2020,6000,24,5082,10308,5948,4360
2020:Q4,2020,6000,33,5537,11888,7139,4749
2021:Q1,2021,6000,6,6366,11630,6015,5615
2021:Q2,2021,4000,9,3891,7305,3910,3395
